CSV,0,60306677,2850,-80,11,0,0,0,0,-96,6,30650821,128
CSV,1,60443629,2850,-83,11,0,0,0,0,-96,6,30787805,128
CSV,2,66858009,3040,-83,11,0,0,0,0,-96,6,34013280,128
CSV,3,66938999,5,-83,11,1,3,0,0,-96,6,34024573,384
CSV,4,67036010,3040,-80,11,0,0,0,0,-96,6,34191273,128
CSV,5,67121158,6,-82,11,1,2,0,0,-96,6,34194083,384
CSV,6,67219798,3040,-80,11,0,0,0,0,-96,6,34375042,128
CSV,7,67303571,7,-82,11,1,2,0,0,-96,6,34378594,384
CSV,8,67394181,3050,-80,11,0,0,0,0,-96,6,34461546,128
CSV,9,67542569,3040,-80,11,0,0,0,0,-96,6,34697848,128
CSV,10,83041355,3440,-82,11,0,0,0,0,-96,6,42198537,128
CSV,11,85085277,3440,-80,11,0,0,0,0,-96,6,44093399,128
CSV,12,85166315,8,-83,11,1,2,0,0,-96,6,44094786,384
CSV,13,85259399,3440,-80,11,0,0,0,0,-96,6,44267510,128
CSV,14,85402748,3440,-80,11,0,0,0,0,-96,6,44410879,128
CSV,15,89796316,3554,-81,11,0,0,0,0,-96,6,44755727,128
CSV,16,89930189,3554,-80,11,0,0,0,0,-96,6,44889612,128
CSV,17,108330219,3955,-81,11,0,0,0,0,-96,6,46154513,128
CSV,18,118979921,110,-79,11,0,0,0,0,-96,6,47454242,128
CSV,19,120304261,110,-81,11,0,0,0,0,-96,6,48475271,128
CSV,20,120439995,110,-80,11,0,0,0,0,-96,6,48611033,128
CSV,21,130346347,364,-80,11,0,0,0,0,-96,6,51893308,128
CSV,22,130478257,364,-80,11,0,0,0,0,-96,6,52025230,128
CSV,23,149700099,761,-79,11,0,0,0,0,-96,6,61242861,128
CSV,24,159840792,1010,-82,11,0,0,0,0,-96,6,62701284,128
CSV,25,159921885,9,-82,11,1,2,0,0,-96,6,62702549,384
CSV,26,164855404,1077,-80,11,0,0,0,0,-96,6,63387854,128
CSV,27,164936568,10,-83,11,1,2,0,0,-96,6,63390961,384
CSV,28,165032347,1077,-81,11,0,0,0,0,-96,6,63564789,128
CSV,29,165175597,1077,-81,11,0,0,0,0,-96,6,63708059,128
CSV,30,170282636,1245,-80,11,0,0,0,0,-96,6,64386047,128
CSV,31,170420061,1245,-80,11,0,0,0,0,-96,6,64523493,128
CSV,32,176019143,1384,-83,11,0,0,0,0,-96,6,65123990,128
CSV,33,176151328,1384,-80,11,0,0,0,0,-96,6,65256190,128
CSV,34,177041084,1384,-80,11,0,0,0,0,-96,6,65471181,128
CSV,35,177122257,11,-83,11,1,0,0,0,-96,6,65472471,384
CSV,36,177217124,1384,-80,11,0,0,0,0,-96,6,65647209,128
CSV,37,177358913,1384,-80,11,0,0,0,0,-96,6,65789018,128
CSV,38,180304922,1460,-80,11,0,0,0,0,-96,6,67176562,128
CSV,39,180439208,1460,-80,11,0,0,0,0,-96,6,67310860,128
CSV,40,190660358,1698,-81,11,0,0,0,0,-96,6,70529902,128
CSV,41,210218855,2099,-80,11,0,0,0,0,-96,6,79639524,128
CSV,42,210354270,2099,-81,11,0,0,0,0,-96,6,79774944,128
CSV,43,221175752,2353,-81,11,0,0,0,0,-96,6,80432318,128
CSV,44,230289399,2480,-81,11,0,0,0,0,-96,6,82233963,128
CSV,45,230426373,2480,-81,11,0,0,0,0,-96,6,82370941,128
CSV,46,240308049,2739,-84,11,0,0,0,0,-96,6,84267001,128
CSV,47,240442389,2739,-82,11,0,0,0,0,-96,6,84401377,128
CSV,48,252408454,2991,-81,11,0,0,0,0,-96,6,93151124,128
CSV,49,252489628,12,-84,11,1,2,0,0,-96,6,93212334,384
CSV,50,252639570,3052,-81,11,0,0,0,0,-96,6,93382241,128
CSV,51,258039994,3152,-81,11,0,0,0,0,-96,6,98221312,128
CSV,52,258121147,13,-84,11,1,2,0,0,-96,6,98222882,384
CSV,53,258216046,3152,-81,11,0,0,0,0,-96,6,98397356,128
CSV,54,258357162,3152,-81,11,0,0,0,0,-96,6,98538492,128
CSV,55,270430459,3299,-81,11,0,0,0,0,-96,6,107710293,128
CSV,56,270567111,3299,-81,11,0,0,0,0,-96,6,107846957,128
CSV,57,284152148,3733,-81,11,0,0,0,0,-96,6,115466636,128
CSV,58,290500986,3818,-80,11,0,0,0,0,-96,6,116068260,128
CSV,59,290638273,3818,-81,11,0,0,0,0,-96,6,116205559,128
CSV,60,300305074,4083,-81,11,0,0,0,0,-96,6,118174476,128
CSV,61,300443566,4083,-83,11,0,0,0,0,-96,6,118312981,128
CSV,62,310574655,251,-84,11,0,0,0,0,-96,6,121834369,128
CSV,63,310708092,251,-82,11,0,0,0,0,-96,6,121967818,128
